dtime,v1,v2,v3,a1,a2,a3,total_e
2022-11-01 00:09:59,137.074,135.969,137.280,2.570,1.114,1.495,40598.390
2022-11-01 00:19:49,136.535,135.805,137.911,2.572,1.116,1.496,40598.500
2022-11-01 00:29:49,137.218,135.922,137.565,2.569,1.111,1.498,40598.610
2022-11-01 00:39:59,137.084,135.972,137.299,2.566,1.111,1.494,40598.730
2022-11-01 00:49:59,136.278,135.022,136.771,13.665,14.341,13.921,40598.950
2022-11-01 01:00:00,135.787,134.792,136.816,2.570,1.132,1.487,40599.150
2022-11-01 01:09:59,136.472,135.585,136.995,2.562,1.115,1.488,40599.250
2022-11-01 01:19:52,137.164,136.309,137.683,2.568,1.111,1.497,40599.360
2022-11-01 01:29:51,137.390,136.542,138.432,2.571,1.110,1.501,40599.480
2022-11-01 01:39:51,136.968,136.608,137.965,2.575,1.111,1.504,40599.780
2022-11-01 01:49:51,136.449,135.952,136.799,2.558,1.111,1.488,40599.890
2022-11-01 01:59:50,133.584,132.623,133.638,22.834,21.556,22.819,40600.110
2022-11-01 02:09:50,133.963,132.865,134.216,22.149,20.682,22.222,40601.430
2022-11-01 02:19:51,133.802,132.742,134.283,22.138,20.604,22.359,40602.750
2022-11-01 02:29:51,135.459,134.712,136.310,3.617,2.657,1.490,40604.270
2022-11-01 02:39:52,135.222,133.862,135.849,6.569,5.981,1.484,40604.430
2022-11-01 02:49:53,135.361,135.176,136.479,2.556,1.117,1.484,40604.540
2022-11-01 02:59:51,135.454,134.530,135.658,2.560,1.122,1.481,40604.640
2022-11-01 03:09:52,135.830,135.158,136.116,2.565,1.122,1.485,40604.760
2022-11-01 03:19:52,136.891,136.865,137.699,2.571,1.117,1.496,40605.060
2022-11-01 03:29:53,135.315,134.453,136.348,7.223,6.605,1.484,40605.180
2022-11-01 03:39:51,135.465,135.353,136.385,2.559,1.117,1.485,40605.290
2022-11-01 03:49:52,133.337,132.064,133.418,22.329,20.702,22.185,40606.110
2022-11-01 03:59:52,131.893,131.143,132.278,22.075,20.904,22.298,40607.430
2022-11-01 04:09:52,132.036,131.217,132.734,21.996,20.730,22.368,40608.910
2022-11-01 04:19:54,132.753,131.123,132.751,22.402,20.656,22.047,40610.220
2022-11-01 04:29:53,132.222,130.631,132.304,22.486,20.753,22.272,40611.540
2022-11-01 04:39:53,132.253,130.638,133.303,26.792,25.929,22.714,40612.840
2022-11-01 04:49:52,131.310,129.227,131.588,25.998,25.312,22.389,40614.160
2022-11-01 04:59:53,130.902,129.029,131.324,30.327,29.173,30.889,40615.670
2022-11-01 05:09:53,129.369,127.350,129.593,41.555,42.381,42.718,40617.610
2022-11-01 05:19:53,130.372,128.808,131.124,32.195,31.584,32.179,40619.540
2022-11-01 05:29:53,129.053,126.693,128.984,44.244,44.492,43.336,40621.880
2022-11-01 05:39:53,130.765,129.291,130.889,29.245,28.695,29.814,40623.970
2022-11-01 05:49:55,129.297,128.035,129.970,31.240,30.623,32.520,40625.820
2022-11-01 05:59:54,130.162,128.513,130.024,30.751,30.157,31.019,40627.700
2022-11-01 06:09:53,129.320,127.653,130.231,33.131,33.959,33.107,40629.800
2022-11-01 06:19:54,131.106,129.061,131.446,42.519,42.995,42.063,40632.180
2022-11-01 06:29:55,128.573,126.548,129.325,40.379,40.457,40.451,40634.350
2022-11-01 06:39:55,129.816,127.725,130.414,32.294,31.355,31.727,40636.460
2022-11-01 06:49:54,129.369,127.165,129.932,33.650,32.699,32.912,40638.350
2022-11-01 06:59:54,130.165,127.661,129.829,31.198,31.026,30.423,40640.210
2022-11-01 07:09:54,128.244,125.480,127.754,45.440,46.062,43.949,40642.160
2022-11-01 07:19:54,131.470,129.054,131.524,26.432,25.466,22.346,40643.850
2022-11-01 07:29:54,132.069,130.163,131.747,21.658,20.286,22.044,40645.140
2022-11-01 07:39:55,133.588,131.939,132.921,21.536,20.532,21.809,40646.550
2022-11-01 07:49:55,132.858,131.146,132.611,21.530,20.296,22.042,40647.840
2022-11-01 07:59:55,130.928,128.283,130.472,33.823,33.351,34.025,40649.220
2022-11-01 08:09:55,131.296,128.614,131.826,28.545,27.345,22.772,40650.560
2022-11-01 08:19:56,131.506,129.773,131.447,22.911,21.982,22.221,40651.880
2022-11-01 08:29:56,135.050,132.766,134.262,21.727,20.111,21.751,40653.300
2022-11-01 08:39:55,134.092,131.992,133.697,21.778,20.152,22.163,40654.590
2022-11-01 08:49:55,136.058,133.454,134.877,21.865,20.040,21.537,40655.870
2022-11-01 08:59:56,132.989,130.547,131.606,22.077,20.408,21.734,40657.320
2022-11-01 09:09:56,133.836,131.066,133.139,22.139,19.918,22.146,40658.600
2022-11-01 09:19:56,131.445,128.193,130.054,34.743,33.593,33.529,40659.980
2022-11-01 09:29:56,131.978,128.484,130.718,35.092,33.490,33.743,40661.400
2022-11-01 09:39:56,132.452,129.867,131.736,22.105,20.071,22.008,40662.770
2022-11-01 09:49:56,136.564,133.633,135.101,1.607,0.165,1.487,40663.390
2022-11-01 09:59:57,137.103,133.943,135.095,13.873,14.150,12.844,40663.480
2022-11-01 10:09:57,137.915,135.139,136.361,1.619,0.168,1.498,40663.700
2022-11-01 10:19:58,137.688,134.842,137.259,6.383,5.898,1.502,40663.780
2022-11-01 10:29:56,135.468,132.310,134.491,13.875,13.822,13.478,40663.900
2022-11-01 10:39:57,135.848,133.413,134.281,21.946,20.294,21.330,40665.250
2022-11-01 10:49:57,134.892,131.989,133.199,22.259,20.196,21.414,40666.540
2022-11-01 10:59:57,136.130,132.973,134.195,14.351,14.516,13.278,40667.750
2022-11-01 11:09:57,138.596,136.209,136.680,1.621,0.165,1.499,40667.980
2022-11-01 11:19:57,137.986,135.757,136.447,1.615,0.163,1.495,40668.280
2022-11-01 11:29:58,138.774,135.709,137.003,1.627,0.165,1.506,40668.520
2022-11-01 11:39:57,138.544,135.863,137.121,1.622,0.164,1.502,40668.600
2022-11-01 11:49:58,139.843,136.413,138.540,5.520,5.122,1.517,40668.680
2022-11-01 11:59:59,139.723,136.666,138.115,2.832,2.167,1.515,40668.950
2022-11-01 12:09:58,138.106,135.742,136.133,1.615,0.165,1.494,40669.090
2022-11-01 12:19:58,137.082,134.396,134.864,1.608,0.167,1.486,40669.180
2022-11-01 12:29:58,137.320,134.483,135.277,1.612,0.166,1.491,40669.410
2022-11-01 12:39:58,137.110,134.776,134.929,1.608,0.168,1.486,40669.500
2022-11-01 12:49:58,134.637,131.650,133.572,27.387,26.015,21.807,40670.340
2022-11-01 12:59:58,134.346,131.416,132.700,22.269,20.169,21.466,40671.790
2022-11-01 13:09:59,133.750,131.391,132.675,21.972,20.249,21.706,40673.060
2022-11-01 13:19:58,137.429,135.061,136.581,6.779,6.286,1.609,40673.500
2022-11-01 13:29:58,138.818,135.760,138.371,5.793,5.393,1.621,40673.760
2022-11-01 13:39:59,137.411,134.135,136.515,9.328,9.744,1.506,40674.120
2022-11-01 13:49:59,139.159,137.194,137.250,1.622,0.168,1.501,40674.210
2022-11-01 13:59:59,138.520,136.138,137.107,1.619,0.162,1.501,40674.310
2022-11-01 14:09:50,138.797,137.458,137.434,1.627,0.165,1.507,40674.550
2022-11-01 14:19:59,139.179,137.396,138.163,1.627,0.163,1.510,40674.660
2022-11-01 14:29:59,134.832,131.970,133.815,22.490,20.196,22.081,40675.010
2022-11-01 14:39:49,132.853,130.466,132.176,23.360,21.888,22.003,40676.470
2022-11-01 14:49:59,134.594,132.347,133.503,23.218,22.053,21.614,40677.850
2022-11-01 14:59:59,135.891,133.620,135.106,21.817,20.032,21.752,40679.130
2022-11-01 15:09:59,135.281,133.159,134.548,25.954,24.653,26.339,40680.670
2022-11-01 15:19:50,131.981,129.487,131.920,35.586,33.038,30.832,40682.250
2022-11-01 15:29:51,136.614,134.451,135.557,21.729,20.146,21.535,40683.860
2022-11-01 15:39:50,136.372,134.829,135.868,21.399,20.242,21.729,40685.140
2022-11-01 15:49:50,138.240,136.658,137.746,1.625,0.173,1.503,40685.830
2022-11-01 15:59:50,138.118,136.798,138.006,1.625,0.173,1.503,40686.070
2022-11-01 16:09:50,138.912,137.189,138.610,1.633,0.173,1.510,40686.160
2022-11-01 16:19:51,138.753,137.509,138.978,1.630,0.166,1.510,40686.230
2022-11-01 16:29:55,137.809,135.721,137.819,1.625,0.170,1.504,40686.480
2022-11-01 16:39:51,137.291,134.854,137.199,5.833,5.406,1.501,40686.560
2022-11-01 16:49:51,138.723,136.504,138.489,1.628,0.168,1.508,40686.640
2022-11-01 16:59:51,137.002,134.873,137.528,2.581,1.117,1.504,40686.910
2022-11-01 17:09:51,136.436,134.638,137.061,2.573,1.117,1.495,40687.020
2022-11-01 17:19:52,137.697,135.502,137.901,3.650,2.684,1.504,40687.170
2022-11-01 17:29:52,137.020,135.220,137.794,2.578,1.116,1.500,40687.330
2022-11-01 17:39:52,138.129,136.401,138.756,2.580,1.106,1.510,40687.610
