dtime,v1,v2,v3,a1,a2,a3,total_e
2022-12-03 00:09:59,128.497,125.194,128.356,27.677,26.037,22.502,44492.600
2022-12-03 00:20:00,137.153,134.366,136.101,1.610,0.163,1.489,44493.100
2022-12-03 00:29:59,134.043,131.250,133.461,1.587,0.167,1.471,44493.180
2022-12-03 00:39:59,135.760,132.697,135.298,1.599,0.167,1.481,44493.290
2022-12-03 00:50:00,135.883,132.933,135.093,1.596,0.163,1.481,44493.370
2022-12-03 00:59:59,137.103,133.523,136.563,1.610,0.164,1.494,44493.650
2022-12-03 01:10:00,135.325,131.990,134.356,1.592,0.165,1.478,44493.750
2022-12-03 01:19:59,134.699,131.623,133.750,1.589,0.165,1.474,44493.840
2022-12-03 01:29:59,128.094,125.084,128.242,26.909,25.958,22.777,44494.340
2022-12-03 01:40:00,130.542,127.325,129.926,22.279,20.409,22.008,44495.610
2022-12-03 01:49:50,128.178,125.188,127.357,22.420,20.754,22.017,44496.880
2022-12-03 02:00:00,128.176,125.171,127.283,22.308,20.662,21.867,44498.340
2022-12-03 02:09:50,128.253,125.400,127.499,22.343,20.780,22.023,44499.610
2022-12-03 02:19:50,134.075,130.264,134.246,6.635,6.124,1.475,44500.070
2022-12-03 02:29:50,135.526,132.506,134.596,1.594,0.162,1.478,44500.150
2022-12-03 02:39:50,133.667,130.103,133.783,5.800,5.368,1.472,44500.250
2022-12-03 02:49:50,134.561,131.825,133.757,1.587,0.165,1.471,44500.340
2022-12-03 02:59:51,134.668,131.157,133.447,1.587,0.163,1.471,44500.610
2022-12-03 03:09:51,133.633,129.378,133.323,5.749,5.318,1.471,44500.700
2022-12-03 03:19:51,133.863,130.852,133.477,1.581,0.162,1.467,44500.800
2022-12-03 03:29:51,133.977,131.090,133.317,1.582,0.163,1.467,44500.880
2022-12-03 03:39:51,135.618,131.089,136.347,6.199,5.719,1.489,44500.980
2022-12-03 03:49:51,132.773,128.818,132.564,12.901,12.806,12.600,44501.200
2022-12-03 03:59:51,129.568,126.423,129.513,22.463,20.698,22.400,44501.740
2022-12-03 04:09:51,130.167,127.094,129.988,22.105,20.480,22.003,44503.030
2022-12-03 04:19:52,129.813,126.201,129.470,22.429,20.303,22.059,44504.300
2022-12-03 04:29:52,127.428,123.784,127.627,27.410,25.704,22.635,44505.570
2022-12-03 04:39:52,125.337,121.753,124.357,32.473,32.956,30.881,44507.190
2022-12-03 04:49:52,125.929,122.998,125.180,30.875,29.913,30.682,44509.140
2022-12-03 04:59:52,124.511,120.851,124.080,34.527,33.753,31.744,44510.910
2022-12-03 05:09:52,123.835,120.364,122.989,34.663,34.431,31.785,44512.690
2022-12-03 05:19:52,125.522,122.549,124.318,30.024,29.157,29.361,44514.470
2022-12-03 05:29:52,123.614,120.157,122.316,34.167,34.506,32.956,44516.440
2022-12-03 05:39:52,124.600,121.548,123.524,39.286,37.714,38.244,44517.890
2022-12-03 05:49:52,124.870,121.918,123.714,39.108,37.786,38.094,44520.140
2022-12-03 05:59:53,125.652,122.871,124.449,33.748,32.763,33.169,44522.100
2022-12-03 06:09:54,126.827,124.079,125.695,29.662,27.732,28.861,44524.140
2022-12-03 06:19:53,126.764,123.902,125.530,31.498,29.311,30.570,44525.870
2022-12-03 06:29:53,126.455,123.914,125.242,31.280,29.740,30.593,44527.640
2022-12-03 06:39:53,126.751,123.810,124.964,31.516,29.581,29.993,44529.380
2022-12-03 06:49:53,135.318,132.502,133.476,1.595,0.167,1.477,44530.650
2022-12-03 06:59:57,136.104,132.805,134.808,1.608,0.168,1.488,44530.730
2022-12-03 07:09:54,136.198,133.306,134.699,1.603,0.166,1.483,44530.810
2022-12-03 07:19:54,136.508,133.390,135.040,1.606,0.170,1.485,44530.890
2022-12-03 07:29:54,136.562,133.223,134.838,1.604,0.167,1.485,44531.090
2022-12-03 07:39:55,136.329,133.585,135.609,1.606,0.163,1.488,44531.180
2022-12-03 07:49:56,136.924,133.878,135.418,1.606,0.166,1.487,44531.250
